iter	RMSE
0	0.3543217628
1	0.3465670157
2	0.3390441023
3	0.3321180528
4	0.3250964237
5	0.3188990036
6	0.31271456
7	0.3067306733
8	0.3011371146
9	0.2960151294
10	0.2910353741
11	0.2868638409
12	0.2823923727
13	0.2783704648
14	0.2744739956
15	0.2704967133
16	0.267410481
17	0.2639574949
18	0.26058923
19	0.2573959199
20	0.2546306554
21	0.2522665333
22	0.2496143501
23	0.2466669983
24	0.2441849763
25	0.2415911216
26	0.2395240143
27	0.2371153294
28	0.2350740231
29	0.2330717034
30	0.2312082936
31	0.2292869091
32	0.2275232603
33	0.225377813
34	0.2237063575
35	0.222079841
36	0.2204373437
37	0.2189467166
38	0.2175992498
39	0.2162550085
40	0.2147614244
41	0.2136625791
42	0.2122199837
43	0.210934931
44	0.2096092613
45	0.2083745107
46	0.2070579963
47	0.2058462134
48	0.2046854722
49	0.203645473
50	0.2027799206
51	0.2019654967
52	0.2008679813
53	0.1999709004
54	0.1989113504
55	0.1979602721
56	0.1970244816
57	0.1960410343
58	0.1949474021
59	0.1940696299
60	0.1933712085
61	0.1922820897
62	0.1911436578
63	0.1902619897
64	0.1893928252
65	0.1884221545
66	0.1877304444
67	0.1868541685
68	0.1862260066
69	0.1856758708
70	0.185059324
71	0.1843271876
72	0.1837191164
73	0.1829768977
74	0.1825714638
75	0.1817949676
76	0.1811024914
77	0.1804184774
78	0.1798378255
79	0.1793052869
80	0.1786703786
81	0.1781775603
82	0.1776791663
83	0.1771446526
84	0.1766791321
85	0.1762455703
86	0.1759265011
87	0.1756664296
88	0.1751907966
89	0.1748685878
90	0.1744093542
91	0.1740742137
92	0.1735410128
93	0.1727449847
94	0.1722431998
95	0.1717203949
96	0.1712644144
97	0.1707473127
98	0.1705162183
99	0.1698448507
100	0.16949344
101	0.1691190547
102	0.1683403743
103	0.167764727
104	0.1671989657
105	0.1667881915
106	0.1664603746
107	0.1661488273
108	0.1657175143
109	0.1653292255
110	0.1649277225
111	0.164389314
112	0.163670898
113	0.1632743396
114	0.1628592997
115	0.162387226
116	0.1618118011
117	0.161551674
118	0.1610107597
119	0.1607408446
120	0.1603275917
121	0.1600892558
122	0.1595376335
123	0.159172269
124	0.1587385933
125	0.1582663776
